,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2025-11-19T03:45:02.050+08:00, 0.929E+00,   0.92882, 0.17969E+01
       2,2025-11-19T03:45:02.070+08:00, 0.929E+00,   1.85764, 0.18125E+01
       3,2025-11-19T03:45:02.110+08:00, 0.929E+00,   2.78647, 0.18750E+01
       4,2025-11-19T03:45:02.127+08:00, 0.929E+00,   3.71529, 0.18906E+01
       5,2025-11-19T03:45:02.146+08:00, 0.929E+00,   4.64411, 0.19062E+01
       6,2025-11-19T03:45:02.194+08:00, 0.588E+00,   5.23246, 0.19844E+01
       7,2025-11-19T03:45:02.215+08:00, 0.507E+00,   5.73959, 0.20156E+01
       8,2025-11-19T03:45:02.237+08:00, 0.507E+00,   6.24672, 0.20469E+01
       9,2025-11-19T03:45:02.301+08:00, 0.380E+00,   6.62693, 0.21250E+01
      10,2025-11-19T03:45:02.327+08:00, 0.313E+00,   6.94037, 0.21875E+01
      20,2025-11-19T03:45:02.685+08:00, 0.204E+00,   9.16645, 0.26250E+01
      30,2025-11-19T03:45:03.103+08:00, 0.299E+00,  11.49834, 0.31406E+01
      40,2025-11-19T03:45:03.458+08:00, 0.294E+00,  14.53954, 0.37344E+01
      50,2025-11-19T03:45:03.719+08:00, 0.257E+00,  17.43977, 0.41250E+01
      60,2025-11-19T03:45:04.053+08:00, 0.224E+00,  19.71086, 0.46719E+01
      70,2025-11-19T03:45:04.346+08:00, 0.224E+00,  21.94900, 0.50000E+01
      80,2025-11-19T03:45:04.598+08:00, 0.178E+00,  23.90057, 0.53750E+01
      90,2025-11-19T03:45:04.875+08:00, 0.178E+00,  25.67810, 0.56875E+01
     100,2025-11-19T03:45:05.069+08:00, 0.178E+00,  27.45563, 0.59375E+01
     200,2025-11-19T03:45:07.265+08:00, 0.228E+00,  47.92633, 0.88125E+01
     300,2025-11-19T03:45:09.450+08:00, 0.166E+00,  71.07791, 0.11625E+02
     400,2025-11-19T03:45:11.637+08:00, 0.240E+00,  92.98991, 0.14172E+02
     500,2025-11-19T03:45:13.924+08:00, 0.174E+00, 114.71513, 0.17094E+02
     600,2025-11-19T03:45:16.434+08:00, 0.249E+00, 138.87915, 0.20609E+02
     700,2025-11-19T03:45:19.255+08:00, 0.262E+00, 162.53698, 0.24141E+02
     800,2025-11-19T03:45:21.830+08:00, 0.232E+00, 186.06373, 0.27625E+02
     900,2025-11-19T03:45:24.534+08:00, 0.279E+00, 208.61202, 0.31484E+02
    1000,2025-11-19T03:45:27.378+08:00, 0.247E+00, 233.18914, 0.35562E+02
    1100,2025-11-19T03:45:30.069+08:00, 0.253E+00, 257.34465, 0.39672E+02
    1200,2025-11-19T03:45:32.704+08:00, 0.188E+00, 280.16175, 0.43516E+02
    1300,2025-11-19T03:45:35.539+08:00, 0.198E+00, 302.13514, 0.47141E+02
    1400,2025-11-19T03:45:38.315+08:00, 0.228E+00, 325.03157, 0.50781E+02
    1500,2025-11-19T03:45:40.792+08:00, 0.201E+00, 347.90384, 0.54312E+02
    1600,2025-11-19T03:45:43.661+08:00, 0.190E+00, 368.79748, 0.58109E+02
    1700,2025-11-19T03:45:46.383+08:00, 0.258E+00, 390.29548, 0.61453E+02
    1800,2025-11-19T03:45:49.199+08:00, 0.259E+00, 412.55141, 0.65203E+02
    1900,2025-11-19T03:45:52.312+08:00, 0.213E+00, 436.80190, 0.69859E+02
    2000,2025-11-19T03:45:54.987+08:00, 0.175E+00, 458.72763, 0.73734E+02
    2100,2025-11-19T03:45:57.166+08:00, 0.182E+00, 483.23476, 0.76922E+02
    2200,2025-11-19T03:45:59.685+08:00, 0.229E+00, 505.46539, 0.80484E+02
    2300,2025-11-19T03:46:02.425+08:00, 0.239E+00, 527.60122, 0.84125E+02
    2400,2025-11-19T03:46:05.336+08:00, 0.252E+00, 551.15269, 0.88297E+02
    2500,2025-11-19T03:46:08.254+08:00, 0.300E+00, 574.64644, 0.92422E+02
    2600,2025-11-19T03:46:10.688+08:00, 0.273E+00, 598.59347, 0.95812E+02
    2606,2025-11-19T03:46:10.826+08:00, 0.169E+00, 600.00000, 0.95969E+02
